지점,일시,평균 기온(°C),평균 이슬점온도(°C),평균 현지기압(hPa),평균 풍속(m/s),합계 강수량(mm),평균 전운량,최고 기온(°C),평균 습도(%),평균 해면기압(hPa),중하층 운량,최저 기온(°C)
3,2020-04-10,9.7,1.7,1021.9,2.8,,.6,16.4,59,1022.3,,.4
3,2020-04-11,8.1,2,1017.5,3.8,.1,7.5,17.5,68,1017.9,8.3,2.9
3,2020-04-12,3.8,1.1,1020.5,1.6,0,2.5,8.2,83,1020.9,,1.4
3,2020-04-13,6.5,1.7,1013.1,2.1,,0,16.5,73,1013.5,,-1.2
3,2020-04-14,6.6,3.4,1009.3,2.8,,3.8,12.3,81,1009.7,,-.5
3,2020-04-15,8,1.6,1016.5,2.1,,6.3,15,65,1016.9,0,2.5
3,2020-04-16,5.1,3.7,1021.4,2.3,,8.8,7,91,1021.8,10,.8
3,2020-04-17,7,5.6,1018.9,2.3,0,10,9.5,91,1019.3,10,5.9
3,2020-04-18,6.8,4.2,1017.5,1.9,0,4.8,11,84,1017.9,9.5,3.5
3,2020-04-19,6.2,4.7,1019,2,,7.5,10,91,1019.4,6.7,1.5
3,2020-04-20,5.5,4.1,1006.8,3,4.7,10,7,92,1007.2,10,4.5
3,2020-04-21,4.9,-3.3,1004.4,7.3,0,7.6,8.5,56,1004.8,7.8,2.5
3,2020-04-22,5.8,-1.6,1005.7,7.6,,5.1,11,59,1006.1,5.8,1.3
3,2020-04-23,6.6,-1.8,1009.7,5.8,,3.1,11.5,55,1010.1,5,2.8
3,2020-04-24,7.1,1,1007.3,3,,6,12,66,1007.7,6,2.8
3,2020-04-25,5.4,3.9,1006.7,1.5,2.2,9.8,11.5,91,1007.1,7.8,2
3,2020-04-26,5.1,3.2,1015.4,1.1,.2,7.3,11.6,87,1015.8,6.8,2.3
3,2020-04-27,7.7,2.7,1016.2,.9,,4.9,14.9,72,1016.6,3.7,.7
3,2020-04-28,8.3,5,1011.7,1.4,.6,10,12.7,80,1012.1,7.5,2.5
3,2020-04-29,13.4,7.5,1014.4,1.1,1,7.5,19,69,1014.8,10,8.2
3,2020-04-30,8.5,7.5,1011,1.6,.7,8.3,12.6,93,1011.4,5,6.3
3,2020-05-01,8.5,7.4,1004.8,2,,10,13,93,1005.2,1.3,4.6
3,2020-05-02,11.6,9.3,1002.6,2.9,,8,21,87,1003,0,7.4
3,2020-05-03,12.3,8.8,1005.2,2.4,,9.4,17.1,80,1005.6,1.9,9.6
3,2020-05-04,12.2,5.4,1008.2,5.1,.7,3.6,18.2,65,1008.6,7.3,8.2
3,2020-05-05,8.5,6.5,1011.2,2.1,0,3,13,87,1011.6,,3.6
3,2020-05-06,11.8,6.5,1014.8,1.9,,1.8,22,72,1015.2,,6.4
3,2020-05-07,10,6.2,1017.5,1.9,,5,15.6,78,1017.9,0,3.3
3,2020-05-08,9.6,8.1,1014,2,,8.8,14.8,90,1014.4,7.5,2.9
3,2020-05-09,10.3,9.6,1008.8,2.5,.4,9.8,13.5,95,1009.2,9.8,8.1
3,2020-05-10,13.6,11.3,998.8,2.1,3,8.8,21.7,87,999.2,10,9.4
3,2020-05-11,15.4,8.2,996.9,4.3,2,3.4,23.7,64,997.3,4.3,9.7
3,2020-05-12,12.9,7.6,996.4,2.9,.2,6.8,19.3,71,996.8,8,6.8
3,2020-05-13,11.9,6.4,1006.3,2.5,,3,21.2,70,1006.7,,4.8
3,2020-05-14,11.4,9.1,1009.1,1.9,,7.5,18,86,1009.5,8.3,5
3,2020-05-15,11.4,9.4,1012.1,1.9,0,10,18,88,1012.5,10,9
3,2020-05-16,10.7,9.4,1008.8,.8,.6,8.9,14.2,92,1009.2,8.9,8.6
3,2020-05-17,9.3,8.7,1008.2,1,3,10,12,96,1008.6,10,8.1
3,2020-05-18,7.3,6.5,1012,2.8,11.8,10,9,95,1012.4,10,6.2
3,2020-05-19,8.8,5.4,1009.5,1.4,2,10,13.3,80,1009.9,10,5.6
3,2020-05-20,8.1,5.8,1013.7,2.5,0,3.3,15,86,1014.1,7.8,3.5
3,2020-05-21,7.4,5.6,1017.5,2.1,,7.5,10.1,89,1017.9,10,4.1
3,2020-05-22,8.3,7.6,1017.1,1.5,.7,10,10.3,95,1017.5,10,7
3,2020-05-23,9.7,9.3,1011.8,.6,2.4,10,11.2,97,1012.2,10,8.2
3,2020-05-24,10.9,10.1,1006.4,1.3,2.4,10,16.5,95,1006.8,9.1,8.9
3,2020-05-25,9.6,9,1007.1,1.6,0,7.1,13.6,96,1007.5,7.3,7.8
3,2020-05-26,9.1,8.8,1005.6,1.4,0,7.9,12,98,1006,9.5,7.1
3,2020-05-27,13.6,10.2,1003.9,.8,.2,5.3,20,81,1004.3,5.5,6.7
3,2020-05-28,14.4,11.5,1006.8,.8,,4.8,24.4,84,1007.2,4.3,9.1
3,2020-05-29,18,12.9,1012.3,2.1,,.4,25.4,73,1012.8,,11.9
3,2020-05-30,13.9,11.8,1015,2.9,,0,18.5,88,1015.4,,9.7
3,2020-05-31,13.3,12.3,1011.6,2,,5,17,94,1012,10,9.6
3,2020-06-01,16.4,13.4,1001.4,2.3,1,8.8,23.6,84,1001.8,10,11.9
3,2020-06-02,16.4,11.6,1002.2,1.6,0,4.3,25,74,1002.6,3.5,12.2
3,2020-06-03,15.3,13.1,1000.3,2.1,3,3.8,21.7,87,1000.7,,10.7
3,2020-06-04,16.6,13.1,1001,2.5,4,4.9,23.5,81,1001.4,7.8,12.4
3,2020-06-05,19.1,13.6,1006.9,1.4,,3.3,25.8,71,1007.3,5.3,12.7
3,2020-06-06,15.8,13.2,1010.6,1.8,,3,20,85,1011,2.8,12.2
3,2020-06-07,15.4,13.8,1010.5,1.4,,8.5,20.7,90,1010.9,4.5,11
3,2020-06-08,16.5,15.3,1011.1,2.6,,10,20.2,93,1011.5,5,14.2
3,2020-06-09,16.8,15.8,1012.4,2,,8.8,20,94,1012.8,7.5,14.2
3,2020-06-10,17.2,16.1,1007.2,2.8,,10,22,93,1007.6,10,15
3,2020-06-11,21.6,15.3,1001.2,3.1,0,3.5,30.4,71,1001.6,4.5,14.7
3,2020-06-12,20.6,16,1003.8,1.5,,4.8,26.7,76,1004.2,2,16.2
3,2020-06-13,18,16.5,1002.9,2.4,,9.5,23.3,91,1003.3,5,14.7
3,2020-06-14,19.7,16.7,998.3,1.3,9,6.9,27,84,998.7,5.3,15.7
3,2020-06-15,20.3,14.4,999.1,4.3,0,6.5,27.1,70,999.5,6,14.6
3,2020-06-16,21.2,15.6,1003.1,1.5,,1,27,71,1003.5,,17
3,2020-06-17,17.5,15.4,1002.3,2.9,0,4.9,23,88,1002.7,7.8,13.6
3,2020-06-18,15.3,13.7,1007.4,2.8,0,10,18.2,90,1007.8,10,13.7
3,2020-06-19,15.4,13.2,1009.3,1.5,,9,18,87,1009.7,7.6,13.7
3,2020-06-20,15.1,14.5,1010.9,1.4,11,10,17.7,96,1011.3,10,11.9
3,2020-06-21,16.5,16.3,1007.1,2.3,2,10,19.9,98,1007.5,10,15.8
3,2020-06-22,17.4,16.7,1008.7,1.6,,9.8,22,96,1009.1,9,15.6
3,2020-06-23,17.1,16.7,1011.8,1.6,.7,10,19.8,98,1012.2,10,16.3
3,2020-06-24,15.4,15,1011.7,.3,10,10,17.5,98,1012.1,10,14
3,2020-06-25,14.9,14.3,1007.1,0,10.1,10,17,96,1007.5,10,13.2
3,2020-06-26,15.4,14.8,1003.5,1.3,25,10,17,96,1003.9,10,14.1
3,2020-06-27,16,15.6,1003.1,1,5,10,18.5,97,1003.5,10,14.7
3,2020-06-28,15.7,15.2,1005.2,2.3,4,10,18,97,1005.6,9.5,14.7
3,2020-06-29,16.4,16,1006.5,1.4,.2,10,18.5,97,1006.9,10,14.4
3,2020-06-30,15.3,14.3,1004.2,1.5,6.7,10,17.5,94,1004.6,10,14.4
3,2020-07-01,17.7,15.7,1003.3,2.3,0,6,27,89,1003.7,6.8,14.1
3,2020-07-02,19.1,16.8,1008.8,2,,1.3,25,87,1009.2,,13.2
3,2020-07-03,18.3,17.1,1012.4,2.3,,8.8,21.5,93,1012.8,7,14.7
3,2020-07-04,17.3,16.5,1005.7,1.4,,10,19.5,95,1006.1,9.8,15.2
3,2020-07-05,18.5,17.7,1001.5,1.9,,10,22.1,95,1001.9,9.5,16.4
3,2020-07-06,18.5,18.1,1002.5,.4,.3,10,21.2,98,1002.9,10,16.8
3,2020-07-07,18.9,18.6,1001.9,1.6,11,10,21.7,98,1002.3,9.8,17.8
3,2020-07-08,21.4,16.4,1003.4,2.1,,0,28.6,74,1003.8,,15.4
3,2020-07-09,20.7,16.6,1005.2,2.1,,5.8,27.5,78,1005.6,1.6,15.8
3,2020-07-10,19.1,18,1007.9,1.8,,10,22.5,93,1008.3,8,14.9
3,2020-07-11,18.7,17.1,1010.1,1.4,,10,20.7,90,1010.5,10,17.5
3,2020-07-12,18.5,17,1012.3,1,,8.5,21,92,1012.7,7.3,16.3
3,2020-07-13,18.1,17.1,1011,.9,,10,21.2,94,1011.4,8.8,15.6
3,2020-07-14,18,16.4,1007.2,1.6,,4.9,22,90,1007.6,5.4,12.7
3,2020-07-15,18.2,16.9,1006.3,1.1,,10,20.2,92,1006.7,10,16.9
3,2020-07-16,19.7,17.6,1006.6,.8,0,10,23,88,1007,10,17.1
3,2020-07-17,20.1,18.7,1009,1.1,,10,22.7,92,1009.4,10,17.4
3,2020-07-18,20.1,19.2,1010.2,.9,,10,23,95,1010.6,10,18.8
3,2020-07-19,20.1,19.6,1009.2,1.9,.7,10,21.5,97,1009.6,10,19
3,2020-07-20,20.8,20.1,1002.8,2.1,56,9.8,23.6,96,1003.2,9.8,18.7
3,2020-07-21,24,19.8,1008.2,1.4,,0,30.2,78,1008.6,,20.5
3,2020-07-22,22,19.8,1009.9,2.3,,6.3,27.6,88,1010.3,0,18.6
3,2020-07-23,20.2,19.1,1012.4,1.8,,8.8,24,94,1012.8,10,18.3
3,2020-07-24,19.9,18.9,1010.7,1.6,0,10,23,94,1011.1,10,18.6
3,2020-07-25,19,18.1,1012.2,.3,.2,10,21.4,94,1012.6,10,17.6
3,2020-07-26,18,17.3,1012.6,0,4.1,10,19.8,96,1013,10,17.3
3,2020-07-27,19.1,18.8,1011.9,0,7,10,21,98,1012.3,10,17.9
3,2020-07-28,19.4,19,1013,0,9,10,21,98,1013.4,10,18.3
3,2020-07-29,19.9,19.3,1014.1,.8,.1,10,21.7,97,1014.5,10,18.4
3,2020-07-30,21,20.7,1011.5,1.3,2.3,10,23.2,98,1011.9,10,19.8
3,2020-07-31,21.3,20.7,1009.1,1.4,,10,24.5,97,1009.5,4.4,19.6
3,2020-08-01,22.1,21.4,1008.4,1.1,,9.3,26.6,96,1008.8,9.5,19
3,2020-08-02,21.7,21.5,1006.6,.9,3,10,24.5,99,1007,10,20.8
3,2020-08-03,23,22.5,1002.5,1,2,9,26.7,97,1002.9,9,20.8
3,2020-08-04,23.1,21.6,1005.1,1.1,4,7.4,26.9,91,1005.5,7.8,21.3
3,2020-08-05,23,22,1008.5,1.1,,9.5,27.4,94,1008.9,9,20.6
3,2020-08-06,22.3,21.6,1003.9,.5,21,7.5,26.2,96,1004.3,7.5,21.3
3,2020-08-07,23.2,21.2,1006.1,2,,5.6,30.1,89,1006.5,6,19.8
3,2020-08-08,21,19.8,1006.8,2.8,0,9.5,23,93,1007.2,9.5,19.8
3,2020-08-09,20.9,20.6,1003.9,4.5,11,10,22.1,98,1004.3,10,20
3,2020-08-10,22.3,21.7,1001.7,.4,6,9.5,24.6,97,1002.1,9.5,20.6
3,2020-08-11,22.5,21.8,1003.3,1,,5.1,26.1,96,1003.7,8.2,20.6
3,2020-08-12,23.8,21.4,1007.8,1.4,,1.8,31.2,87,1008.2,,18.9
3,2020-08-13,22.4,20.6,1007.7,1.6,.6,10,26,89,1008.1,7.5,20.3
3,2020-08-14,22.3,21.1,998.4,.6,15,6.1,26.5,93,998.8,8.2,19.3
3,2020-08-15,23.7,22.3,1002.6,1.1,,10,29.3,92,1003,6.3,20.1
3,2020-08-16,24.3,22.5,1006.7,.9,0,6.6,28.4,90,1007.1,5,21
3,2020-08-17,23.2,21.9,1010.6,1.1,,6.9,28.5,92,1011,6.1,19.3
3,2020-08-18,24.1,23.2,1006.9,1.3,0,3.5,27,95,1007.3,,21.1
3,2020-08-19,24.1,23.2,1006.2,1.1,29,7.8,34,95,1006.6,7.1,22.1
3,2020-08-20,19.8,17.4,1014,.8,7,10,24.4,87,1014.4,10,16.5
3,2020-08-21,18.7,15.5,1016.3,1.4,.1,8.8,24.1,83,1016.7,10,15.8
3,2020-08-22,19.3,17.2,1013,2.1,,3.1,23.5,88,1013.4,4.2,14.7
3,2020-08-23,20.4,19.2,1007.9,1.5,,9,25,93,1008.3,9,15.8
3,2020-08-24,22.1,21.7,1004.4,1.5,5,10,24.1,98,1004.8,10,20.4
3,2020-08-25,23,22.2,1003,.9,11,9.8,26.4,96,1003.4,9.8,21.9
3,2020-08-26,23.3,22.5,1009.1,1,1,9.8,25.5,95,1009.5,9.8,21.7
3,2020-08-27,22.9,22.5,1005.6,4.5,3,10,24.5,98,1006,10,22.1
3,2020-08-28,23.7,23,1005.1,1.1,,9.4,27.5,96,1005.5,8.6,22
3,2020-08-29,22.3,21.3,1008.7,1,15,9.8,26.9,94,1009.1,9.8,18.9
3,2020-08-30,18.4,17.7,1015.1,2,1.6,10,19.8,96,1015.5,10,17.6
3,2020-08-31,17.6,17.3,1016.8,3.1,13,10,19.4,98,1017.2,10,16.8
3,2020-09-01,20,19.7,1010.6,3.3,25,10,21.4,98,1011,10,17.8
3,2020-09-02,20,19.8,1009.5,2.5,19,10,21.3,98,1009.9,10,19.1
3,2020-09-03,20.2,19.7,997,11.3,45,10,,97,997.4,10,17.7
3,2020-09-04,20.5,17.8,1007.5,4.8,,0,25.4,85,1007.9,,13.8
3,2020-09-05,18.2,15.7,1013.2,1,,7.3,23.3,87,1013.6,4.5,13
3,2020-09-06,18.4,17.4,1013.4,1.3,,8.3,22.5,94,1013.8,8.3,15.2
3,2020-09-07,18.2,17.7,1002.4,6,114,10,21.5,97,1002.8,10,16.3
3,2020-09-08,19.7,18.5,995.1,5.8,13,10,21.5,93,995.5,10,18.4
3,2020-09-09,19.4,16.7,1003.4,1.5,,2.1,24.4,85,1003.8,,15.4
3,2020-09-10,19,17.9,1008.1,1.9,,8.8,21.5,93,1008.5,8.8,16
3,2020-09-11,17.5,16.8,1020.3,.1,4.8,10,19.7,96,1020.7,10,16.7
3,2020-09-12,16,15.3,1022.1,.1,5,10,18,96,1022.5,10,14.9
3,2020-09-13,17,13.1,1015.3,1.5,2,9.8,21.3,78,1015.7,9.8,14
3,2020-09-14,17,13.3,1012,1.6,,2.6,22,80,1012.4,4.2,12.3
3,2020-09-15,16.1,14.2,1012.7,1.3,,0,23.3,89,1013.1,,10.9
3,2020-09-16,17,16.6,1008.9,2.6,6,10,19,97,1009.3,10,12.3
3,2020-09-17,18.6,17.6,1004.2,1.5,.6,3,22.2,94,1004.6,,15.8
3,2020-09-18,17,14.3,1006,.9,2,6.4,23,85,1006.4,6.8,11.9
3,2020-09-19,16.1,12.4,1008.8,.8,,5.8,23,81,1009.2,6.8,10.2
3,2020-09-20,16.7,11.6,1013.4,2.4,1,4.5,21,73,1013.8,7.2,12.8
3,2020-09-21,15.8,12,1017.9,0,,1.5,21.2,79,1018.3,,12.1
3,2020-09-22,14.8,13.1,1020.7,1.1,,5.1,19.4,90,1021.1,5.3,10.2
3,2020-09-23,14.4,13.4,1021.7,.4,0,8.9,19.2,94,1022.1,8.6,10.8
3,2020-09-24,15.4,13.2,1020.7,.9,,9.3,20,87,1021.1,8.1,10.2
3,2020-09-25,16.4,14.5,1018.2,1,0,8,21,89,1018.6,9,13.1
3,2020-09-26,15.5,13.3,1018.7,2.1,.2,6.5,22.5,88,1019.1,7.3,11.2
3,2020-09-27,14.5,12.5,1018.5,1.1,,0,20.5,89,1018.9,,9.7
3,2020-09-28,14.5,13.2,1014,.9,,1,20,92,1014.4,,8.6
3,2020-09-29,14.6,11.4,1011.1,.6,,8.9,17.7,82,1011.5,8.9,10.7
3,2020-09-30,14.1,10.1,1014.1,1.6,,9.3,20,78,1014.5,8,9.4
3,2020-10-01,12.5,9.8,1014.9,1.1,,5.4,18.4,85,1015.3,5.8,6.7
3,2020-10-02,13.7,13.2,1011.4,2.1,30,8.4,17.5,97,1011.8,8.1,10.9
3,2020-10-03,13.9,10.3,1012.5,1.4,,2.3,21.5,82,1012.9,,7.4
3,2020-10-04,10.9,8.3,1007,1.6,.9,4.3,18.4,85,1007.4,8.5,6.6
3,2020-10-05,12.9,5.7,1007.7,7.9,,2.3,16.5,62,1008.1,4.5,8.5
3,2020-10-06,11.4,5.2,1020,2.1,,1.4,16.5,67,1020.4,,5.4
3,2020-10-07,9.8,5.8,1025.9,.4,,0,18.8,78,1026.3,,1.6
3,2020-10-08,11.4,6.3,1028.4,.5,,0,22,76,1028.8,,3.5
3,2020-10-09,11.1,9.3,1027.2,1.3,,7,17.5,89,1027.6,3.5,4.3
3,2020-10-10,12.7,11.1,1021.5,.8,,8.6,17.2,90,1021.9,8.6,8.2
3,2020-10-11,14,12.1,1016,1.3,,10,17.2,89,1016.4,10,11.6
3,2020-10-12,11.6,4.1,1015,2.8,0,5,17.2,61,1015.4,10,6.4
3,2020-10-13,9.3,2.5,1018.3,1.5,,0,14.5,64,1018.7,,1.5
3,2020-10-14,7.1,-2.4,1023.3,2.6,,0,12.5,52,1023.7,,2
3,2020-10-15,8.1,2.1,1023.6,2.4,,.5,14,67,1024,,0
3,2020-10-16,9.1,4.7,1020.3,1,.3,2,16.7,75,1020.7,,2
3,2020-10-17,8.3,4.9,1019.2,1.3,,0,16.7,81,1019.6,,-.6
3,2020-10-18,10.4,5.6,1019,1.1,,0,20.4,77,1019.4,,3.2
3,2020-10-19,9.2,4.9,1022.3,.6,,0,17,76,1022.7,,2.4
3,2020-10-20,10.7,9,1023.5,1,,2.5,17,90,1023.9,,2.5
3,2020-10-21,12.9,11.3,1015.7,.5,,8.8,17,91,1016.1,10,6.8
3,2020-10-22,12.6,5.2,1011,2.8,,5.8,16,62,1011.4,9.2,9.1
3,2020-10-23,7,-1.9,1010.2,9.5,,1.3,10.7,53,1010.6,,5
3,2020-10-24,8,-1.9,1008.2,10.6,,0,12.4,50,1008.6,,3.4
3,2020-10-25,14.2,3.3,1012,7,,0,19.4,48,1012.4,,8.2
3,2020-10-26,9.3,4.9,1018.2,.6,,0,17.7,75,1018.6,,2.5
3,2020-10-27,10,7.5,1017.8,1.6,,8,15,87,1018.2,6,3.6
3,2020-10-28,9.9,-3.2,1020.1,4.1,,0,14,40,1020.5,,7.2
3,2020-10-29,8.4,-3,1022.8,3.9,,0,13.3,44,1023.2,,3.8
3,2020-10-30,7,-1.4,1026.9,2,,0,14,57,1027.3,,1.2
3,2020-10-31,6.4,4,1020.1,.8,,5.3,14.5,86,1020.5,8.4,-.4
3,2020-11-01,10,5.3,1012.5,1.9,,7.5,16,75,1012.9,9.3,3.8
3,2020-11-02,8.3,-1.9,1015.6,3.4,,2.4,12.2,49,1016,,4.4
3,2020-11-03,2.9,-6,1014.3,7.1,,1.3,5.5,52,1014.7,,.9
3,2020-11-04,2.8,-6.7,1017.6,4.3,,0,9.5,51,1018,,-2.5
3,2020-11-05,4.9,.7,1019.3,.9,,.6,14.5,75,1019.7,,-3.4
3,2020-11-06,8,5.8,1013.8,.5,,9.5,14,86,1014.2,9.5,1.5
3,2020-11-07,11.1,4.7,1010.6,2,,5.6,16.9,66,1011,7,4.6
3,2020-11-08,4.9,-2.9,1016,7.3,,.4,9.5,58,1016.4,,1.6
3,2020-11-09,2.1,-5.9,1020.7,2.9,,.6,6,55,1021.1,,-.6
3,2020-11-10,2.5,-5.3,1025.6,2.3,,2.5,7.8,57,1026,,-4
3,2020-11-11,6.2,2.8,1028.8,.6,,2.5,13.4,80,1029.2,,1.2
3,2020-11-12,6.9,5,1023.1,1.3,,3.8,13.3,89,1023.5,,-.6
3,2020-11-13,9.5,.2,1025.7,5,,0,14,53,1026.1,,5.1
3,2020-11-14,4.4,.8,1029.2,.5,,2.6,10.4,78,1029.6,,-.5
3,2020-11-15,5.7,4.6,1021.5,1,,3.3,11.5,93,1021.9,,.1
3,2020-11-16,8.4,1.2,1026.9,2.9,,1.3,12.5,62,1027.3,,2.7
3,2020-11-17,8.6,7.4,1023.2,.1,,10,12.7,92,1023.6,10,1.9
3,2020-11-18,7.5,7.1,1018.9,.6,10,10,10.6,97,1019.3,10,5.1
3,2020-11-19,4.3,3.5,1005.2,1.4,19,10,5.7,95,1005.6,10,3.1
3,2020-11-20,.3,-5.1,1014.4,7.8,0,7.5,2,67,1014.8,10,-1
3,2020-11-21,2.1,-2.9,1023.7,1.9,,3.8,6,70,1024.1,,-3.6
3,2020-11-22,-.1,-6.4,1021.8,4.3,0,6,3,62,1022.2,9.2,-3.2
3,2020-11-23,.3,-7.7,1023.2,3.9,,0,5.6,56,1023.6,,-4
3,2020-11-24,2,-3.3,1027.1,.5,,4.8,6.9,68,1027.5,7,-3.6
3,2020-11-25,2.8,-1.5,1023.1,.6,,3.5,8,74,1023.5,,-.6
3,2020-11-26,.7,-6.2,1029.5,5,,.8,4.7,60,1029.9,,-1.5
3,2020-11-27,-1.2,-8.5,1026.5,3.5,,4.8,2,58,1026.9,5,-3.2
3,2020-11-28,-2.9,-9.9,1025.4,4.3,,0,.5,59,1025.8,,-6
3,2020-11-29,-2.1,-9.5,1026.1,3.4,,0,1.5,57,1026.5,,-4.6
3,2020-11-30,-2.3,-9.3,1030.3,2.5,,0,2.6,59,1030.7,,-4.7
3,2020-12-01,-3.2,-9.1,1033.7,2.9,,1.5,1.9,64,1034.1,,-9
3,2020-12-02,-1.1,-7.7,1029,2.6,,8.5,2.1,61,1029.4,6.5,-5.2
3,2020-12-03,-1.9,-9,1025.5,4.5,,1.3,1,59,1025.9,,-4.5
3,2020-12-04,-.1,-5.3,1025.3,2.4,,1,6.4,69,1025.7,,-5.6
3,2020-12-05,.8,-7.3,1024.8,2.1,,1.3,7,56,1025.2,,-2.6
3,2020-12-06,.1,-3.9,1023.1,1.1,,4.5,5.3,76,1023.5,7.2,-4.4
3,2020-12-07,-2.1,-7.8,1023.1,4.3,,0,1.5,66,1023.5,,-6
3,2020-12-08,-3.1,-9.8,1025.3,2.4,,0,3.4,60,1025.7,,-5.6
3,2020-12-09,-4.5,-7.2,1022.3,.6,,0,2,82,1022.7,,-9.7
3,2020-12-10,-.6,-2.2,1017.6,.4,,3.5,6.4,89,1018,,-6.6
3,2020-12-11,1.7,-5.7,1017.2,2.8,,4.3,5.1,59,1017.6,2,-4.5
3,2020-12-12,-2.7,-11.4,1017.4,4,,4.8,0,51,1017.8,9,-4.6
3,2020-12-13,-7.7,-14.6,1018.6,4.1,,2.8,-4,58,1019,,-9.9
3,2020-12-14,-10.9,-18.1,1022.4,7.3,,0,-7.4,55,1022.8,,-13
3,2020-12-15,-11.8,-19.2,1023.9,11.1,,0,-8.8,54,1024.3,,-14.2
3,2020-12-16,-10.1,-18.1,1024,6.6,,0,-7.3,52,1024.4,,-13.6
3,2020-12-17,-5.5,-13.6,1022.8,5.3,,0,.3,53,1023.2,,-10
3,2020-12-18,-5.7,-13.4,1023.1,5.6,,0,-2.5,55,1023.5,,-9.6
3,2020-12-19,-8.1,-17.1,1026,8,,0,-5.4,48,1026.4,,-10
3,2020-12-20,-8,-15.3,1027.4,1.6,,0,-.7,56,1027.8,,-14.2
3,2020-12-21,-3.1,-9.1,1022.7,.9,,0,4.4,65,1023.1,,-11.4
3,2020-12-22,-3.3,-6.6,1020,.4,,.6,4.4,79,1020.4,,-10.3
3,2020-12-23,-2.5,-4.7,1014.6,.5,,5.4,5.2,85,1015,4.2,-9
3,2020-12-24,-1.9,-8.9,1012.9,3.5,,1.6,1,59,1013.3,,-5
3,2020-12-25,-6.5,-12.5,1017.2,2.5,,.8,-1.5,63,1017.6,,-12.6
3,2020-12-26,-6.1,-11.4,1021.7,2.1,,3,1.4,68,1022.1,,-13.8
3,2020-12-27,-2.8,-3.9,1021.4,0,1,10,.4,93,1021.8,10,-5.7
3,2020-12-28,-4.4,-7.8,1024.7,1.8,.6,7.8,-1.5,78,1025.1,7,-7
3,2020-12-29,-9.4,-15,1024,6.1,.1,8.1,-6.6,65,1024.4,8.8,-14.5
3,2020-12-30,-15.2,-21.2,1018.5,6.8,,0,-12.2,60,1018.9,,-18
3,2020-12-31,-12.7,-19.2,1018.3,3.1,,.4,-8.8,58,1018.7,,-15.7
